symbol,liab_exp,wc_exp,inv_exp,recv_exp,fixed_exp,liab_exp_high,wc_exp_high,inv_exp_high,recv_exp_high,fixed_exp_high,double_exposure,physical_chain,receivable_heavy,rollover_assetlight,shock_amp_score,shock_amplifier,trade_credit_chain
ATS,-0.5105887290818333,-1.2424785386120877,-1.1160696532073392,-0.5050050287927247,-0.651563652294339,0,0,0,0,0,0,0,0,0,-1.753067267693921,0,0
BAX,-0.4022775992835237,-1.2150630379964364,-1.0994858848184162,-0.4764103366006143,-0.6564705873795424,0,0,0,0,0,0,0,0,0,-1.61734063727996,0,0
BBS,-0.7590616618200716,-0.822638214396009,-0.8591291014310949,-0.2130702193214783,-0.6473875717376144,0,0,0,1,0,0,0,0,0,-1.5816998762160805,0,0
BCC,0.7540738600941577,0.8432422257053525,0.3466224843952978,1.2363718984654445,0.3892889328378929,1,1,1,1,1,1,0,1,0,1.5973160857995101,1,1
BCE,-0.4720681539575026,-0.9006128413919897,-0.8619802154538222,-0.3434010141980249,-0.6554771296012859,0,0,0,1,0,0,0,0,0,-1.3726809953494922,0,0
BED,-0.8986737376906287,-0.6081351211508923,-0.7939308262391034,0.0484858668415767,-0.655414140973163,0,0,0,1,0,0,0,0,0,-1.506808858841521,0,0
BFC,0.7334245571708253,0.8884104330919275,0.7569041921504456,0.4837822883700902,-0.5976007179528816,1,1,1,1,0,1,0,1,1,1.6218349902627527,1,1
BHN,-0.051977263812021,-0.6669137031553307,-0.9178693245685412,0.1608465244157115,-0.4017377711242694,1,0,0,1,1,0,0,0,0,-0.7188909669673517,0,0
BIC,-0.6074255781350785,-0.8664968693069287,-0.8829609469728408,-0.4511771634003906,-0.6447990642380685,0,0,0,0,0,0,0,0,0,-1.4739224474420072,0,0
BID,0.5534743277525401,-0.5890752348495695,-0.8912748641021608,0.1060204584725905,-0.6486349743233397,1,0,0,1,0,0,0,0,1,-0.0356009070970293,0,1
BKC,-0.9557104114309922,-0.1794484570131152,0.3175323431520239,-0.5503317720308855,-0.6099640287267801,0,0,1,0,0,0,1,0,0,-1.1351588684441074,0,0
BMC,-1.0377628869257054,-1.089527259282553,-1.042210930244215,-0.3235864466563716,-0.6542801257285793,0,0,0,1,0,0,0,0,0,-2.1272901462082586,0,0
BMI,-0.6744066999379501,-0.8066179619319936,-0.889722534859009,-0.3022192234216329,-0.6423114464231567,0,0,0,1,0,0,0,0,0,-1.4810246618699437,0,0
BMP,-0.3712153611573503,-0.6163439019070321,-0.5701634029231914,-0.2583533332398315,-0.2358599239993086,0,0,0,1,1,0,0,0,0,-0.9875592630643824,0,0
BPC,-0.5646740094347121,-0.8431446080909553,-0.9236307954168221,-0.2269239487075866,-0.6513591424455908,0,0,0,1,0,0,0,0,0,-1.4078186175256675,0,0
BRC,-0.5697904889751785,-0.6301252471626804,-0.814868506207079,0.0236663553949116,-0.6310189806882819,0,0,0,1,0,0,0,0,0,-1.1999157361378588,0,0
BTP,-0.2259821105435104,-0.583437281848097,-0.7240798687438868,-0.0739862050295518,0.5894678193828844,0,0,0,1,1,0,0,0,0,-0.8094193923916074,0,0
BTS,-0.9436706432689722,-0.4673257985804701,-0.2013185193336837,-0.5018344621175391,-0.4724904968511877,0,0,0,0,0,0,0,0,0,-1.4109964418494423,0,0
